CO_IES,X_Regiao,X_UF,X_Org_Acad,X_Rede,X_Cat_Adm,Y_Proporcao_PcD,X_Porte_Alunos,X_Num_Cursos,X_Pct_EAD,X_Pct_Licenciatura,X_Pct_Apoio_Social,X_Pct_Ativ_Extra,X_Pct_Mob_Academica
95,Nordeste,Ceará,1,1,2,0.032934926958831344,7530.0,39.0,0.17290836653386454,0.5818061088977423,0.5086321381142098,0.6099601593625498,0.0
99,Sudeste,Minas Gerais,3,2,5,0.0,547.0,1.0,0.0,0.0,0.0,1.9031078610603291,0.0
107,Sudeste,Minas Gerais,1,1,1,0.007880277617119723,13832.0,67.0,0.05154713707345286,0.17278773857721227,0.058993637941006365,0.08350202429149797,0.00021688837478311162
109,Sudeste,São Paulo,3,2,5,0.004991680532445923,601.0,7.0,0.0,0.0,0.0,1.1846921797004992,0.0
124,Sudeste,São Paulo,1,2,5,0.00044689408610159393,6713.0,76.0,0.051988678683152094,0.03381498584835394,0.0,0.2647102636675108,0.0
125,Sudeste,São Paulo,2,2,5,0.0014977533699450823,2003.0,257.0,0.7144283574638043,0.4583125312031952,0.0,0.0,0.0
126,Sudeste,Minas Gerais,3,2,5,0.014900662251655629,1208.0,7.0,0.0,0.0,0.0,0.402317880794702,0.01076158940397351
135,Sudeste,São Paulo,2,2,5,0.0044231478068558795,10852.0,1686.0,0.9236085514190933,0.42591227423516403,0.0,0.8936601548101732,0.0
137,Sudeste,São Paulo,2,2,5,0.007548669050456893,5034.0,53.0,0.13806118394914582,0.1319030591974573,0.0,0.28128724672228844,0.0
138,Sudeste,São Paulo,2,2,5,0.00022820629849383843,4382.0,31.0,0.007759014148790507,0.0581926061159288,0.0,0.3242811501597444,0.0
140,Sudeste,Rio de Janeiro,1,2,5,0.0009625300790649708,14545.0,111.0,0.12169130285321417,0.072533516672396,0.0,0.02255070470952217,0.0
141,Sudeste,Minas Gerais,3,2,5,0.0,352.0,1.0,0.0,0.0,0.03125,0.13920454545454544,0.0
142,Sudeste,Minas Gerais,2,2,5,0.0024248302618816685,4124.0,17.0,0.0,0.00024248302618816683,0.0,1.2827352085354025,0.0
143,Sudeste,Minas Gerais,1,2,5,0.01652569941444372,38425.0,4238.0,0.7806896551724138,0.22337020169160704,0.002498373454782043,0.021001951854261548,0.0
144,Nordeste,Pernambuco,3,2,5,0.0036496350364963502,274.0,6.0,0.0,0.029197080291970802,0.0,0.0,0.0
146,Sudeste,São Paulo,2,2,4,0.013463480309660047,5942.0,74.0,0.10063951531470886,0.04022214742510939,0.0,0.3712554695388758,0.0
149,Sudeste,São Paulo,3,1,2,0.0,759.0,3.0,0.0,0.0,0.16205533596837945,0.8827404479578392,0.014492753623188406
150,Sudeste,São Paulo,1,2,5,0.012673506336753168,8285.0,84.0,0.06807483403741701,0.05431502715751358,0.0,0.017380808690404346,0.0
151,Sudeste,São Paulo,3,2,5,0.008730447435431065,2749.0,3.0,0.0,0.0,0.01709712622771917,0.1291378683157512,0.05929428883230266
152,Nordeste,Bahia,3,2,5,0.0,252.0,1.0,0.0,0.0,0.0,0.2896825396825397,0.0
158,Sudeste,Rio de Janeiro,2,2,5,0.014354066985645933,1463.0,17.0,0.0,0.09637730690362269,0.0,0.0,0.0
159,Nordeste,Pernambuco,3,2,4,0.010638297872340425,188.0,7.0,0.0,0.2765957446808511,0.0,0.0,0.0
160,Nordeste,Pernambuco,2,2,5,0.002091425156856887,3347.0,12.0,0.0,0.1431132357334927,0.0,0.011652225873916941,0.0
161,Sudeste,São Paulo,2,2,5,0.006211180124223602,805.0,9.0,0.0,0.28322981366459626,0.29440993788819875,0.675776397515528,0.0
162,Sudeste,São Paulo,2,2,4,0.007526342197691922,5979.0,57.0,0.19083458772369963,0.02324803478842616,0.0,0.10018397725372136,0.0
163,Sudeste,Rio de Janeiro,1,2,4,0.0014678294906191086,431249.0,26824.0,0.8295601844873843,0.11221127469281088,0.0,0.0,0.0
165,Sudeste,Rio de Janeiro,1,2,4,0.00612285206399368,40504.0,439.0,0.5469583251036935,0.08342385937191389,0.0,0.01212225952992297,0.0
166,Sudeste,Minas Gerais,3,2,5,0.0,338.0,7.0,0.0,0.1242603550295858,0.0,1.121301775147929,0.0
167,Sudeste,São Paulo,1,2,5,0.0005861664712778429,5118.0,506.0,0.5687768659632669,0.07424775302852676,0.0,0.10941774130519734,0.0
171,Sudeste,Minas Gerais,3,2,5,0.015815085158150853,822.0,1.0,0.0,0.0,0.0,0.20802919708029197,0.0
176,Sudeste,Rio de Janeiro,1,2,5,0.0010460251046025104,1912.0,13.0,0.006276150627615063,0.034518828451882845,0.0,0.03347280334728033,0.0
192,Sudeste,Rio de Janeiro,3,2,5,0.0019933554817275745,1505.0,21.0,0.04451827242524917,0.12956810631229235,0.0,1.0438538205980066,0.0
195,Sudeste,Rio de Janeiro,3,2,5,0.01182033096926714,423.0,5.0,0.0,0.0,0.0,0.9243498817966903,0.0
197,Sul,Paraná,3,2,5,0.011933174224343675,419.0,7.0,0.00477326968973747,0.0,0.0,0.0,0.0
200,Sudeste,São Paulo,3,2,5,0.007772020725388601,1544.0,4.0,0.0,0.0,0.06541450777202072,0.009715025906735751,0.0
203,Sudeste,São Paulo,1,2,4,0.006443493581676315,39730.0,1656.0,0.3899572111754342,0.056305059149257486,0.0,0.0036244651396929273,0.0
