NO_REGIAO_IES;CO_REGIAO_IES;SG_UF_IES;CO_UF_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;CO_IES;QT_TEC_TOTAL;QT_DOC_EXE;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_CURSO;QT_VG_TOTAL;QT_MAT;QT_MAT_DEFICIENTE;QT_MAT_FINANC;QT_MAT_FIES;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_RESERVA_VAGA;QT_MAT_RVPDEF;QT_MAT_APOIO_SOCIAL;QT_MAT_ATIV_EXTRACURRICULAR;QT_MAT_MOB_ACADEMICA;PROP_PCD
Sudeste;3;SP;35;3549805;0;2;2;4;146;288;264;102;78;66;0;44.0;8464.0;5942.0;80.0;1927.0;0.0;100.0;0.0;0.0;0.0;0.0;2169.0;0.0;0.013463480309660047
Sudeste;3;SP;35;3549805;0;3;1;2;149;193;245;64;149;237;8;3.0;160.0;759.0;0.0;0.0;0.0;0.0;0.0;14.0;0.0;122.0;669.0;11.0;0.0
Sudeste;3;SP;35;3552205;0;1;2;5;150;316;382;206;176;129;3;84.0;13457.0;8285.0;105.0;4045.0;0.0;1433.0;0.0;0.0;0.0;0.0;137.0;0.0;0.012673506336753168
Sudeste;3;SP;35;3550308;1;3;2;5;151;164;239;6;232;110;92;3.0;739.0;2749.0;24.0;443.0;0.0;0.0;0.0;0.0;0.0;46.0;352.0;163.0;0.008730447435431065
Nordeste;2;BA;29;2927408;1;3;2;5;152;45;24;13;3;1;0;1.0;555.0;252.0;0.0;87.0;0.0;0.0;0.0;0.0;0.0;0.0;73.0;0.0;0.0
Sudeste;3;RJ;33;3304557;1;2;2;5;158;37;52;30;15;11;0;17.0;1317.0;1463.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.014354066985645933
Nordeste;2;PE;26;2604106;0;3;2;4;159;6;18;17;1;0;0;7.0;660.0;188.0;2.0;27.0;24.0;0.0;23.0;0.0;0.0;0.0;0.0;0.0;0.010638297872340425
Nordeste;2;PE;26;2611606;1;2;2;5;160;115;140;85;42;30;0;12.0;2016.0;3347.0;7.0;809.0;1.0;416.0;350.0;0.0;0.0;0.0;35.0;0.0;0.002091425156856887
Sudeste;3;SP;35;3550308;1;2;2;5;161;28;64;29;33;15;0;9.0;1187.0;805.0;5.0;486.0;1.0;134.0;1.0;0.0;0.0;220.0;475.0;0.0;0.006211180124223602
Sudeste;3;SP;35;3550308;1;2;2;4;162;244;238;101;127;60;0;46.0;4435.0;5979.0;45.0;1294.0;277.0;160.0;17.0;0.0;0.0;0.0;562.0;0.0;0.007526342197691922
Sudeste;3;RJ;33;3304557;1;1;2;4;163;1834;1439;604;690;482;0;542.0;269121.0;431249.0;633.0;427373.0;2118.0;12283.0;1236.0;1.0;0.0;0.0;0.0;0.0;0.0014678294906191086
Sudeste;3;RJ;33;3304557;1;1;2;4;165;492;549;298;227;166;0;131.0;21924.0;40504.0;248.0;2716.0;504.0;2202.0;10.0;0.0;0.0;0.0;471.0;0.0;0.00612285206399368
Sudeste;3;MG;31;3159605;0;3;2;5;166;36;62;39;13;8;0;7.0;400.0;338.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;0.0;332.0;0.0;0.0
Sudeste;3;SP;35;3548708;0;1;2;5;167;183;129;69;46;40;0;55.0;2155.0;5118.0;3.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;559.0;0.0;0.0005861664712778429
Sudeste;3;MG;31;3152501;0;3;2;5;171;64;29;16;11;10;4;1.0;270.0;822.0;13.0;700.0;69.0;0.0;0.0;0.0;0.0;0.0;171.0;0.0;0.015815085158150853
Sudeste;3;RJ;33;3304557;1;1;2;5;176;167;138;69;39;51;0;13.0;1101.0;1912.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.0;0.0;0.0010460251046025104
Sudeste;3;RJ;33;3304557;1;3;2;5;192;205;335;114;97;7;0;21.0;1499.0;1505.0;3.0;655.0;0.0;0.0;0.0;0.0;0.0;0.0;1494.0;0.0;0.0019933554817275745
Sudeste;3;RJ;33;3304557;1;3;2;5;195;45;56;31;23;5;1;5.0;830.0;423.0;5.0;313.0;0.0;56.0;2.0;0.0;0.0;0.0;387.0;0.0;0.01182033096926714
Sul;4;PR;41;4106902;1;3;2;5;197;21;31;22;4;2;0;7.0;947.0;419.0;5.0;409.0;11.0;26.0;57.0;0.0;0.0;0.0;0.0;0.0;0.011933174224343675
Sudeste;3;SP;35;3550308;1;3;2;5;200;63;50;21;29;20;1;4.0;792.0;1544.0;12.0;97.0;0.0;0.0;0.0;0.0;0.0;98.0;15.0;0.0;0.007772020725388601
Sudeste;3;SP;35;3550308;1;1;2;4;203;306;558;281;249;188;0;331.0;8722.0;39730.0;256.0;3929.0;364.0;3519.0;46.0;0.0;0.0;0.0;0.0;0.0;0.006443493581676315
Sudeste;3;SP;35;3550308;1;2;2;5;206;260;154;66;37;19;17;73.0;6115.0;15482.0;0.0;759.0;13.0;511.0;236.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3543402;0;2;2;5;207;104;153;81;51;31;0;22.0;2025.0;1749.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005145797598627788
Sudeste;3;SP;35;3543402;0;1;2;5;208;421;490;182;272;204;0;31.0;3647.0;7099.0;43.0;2652.0;47.0;1267.0;198.0;511.0;0.0;0.0;5086.0;16.0;0.006057191153683617
Sudeste;3;SP;35;3550308;1;2;2;5;213;179;108;33;75;29;0;9.0;2503.0;3532.0;3.0;1129.0;91.0;617.0;386.0;0.0;0.0;0.0;35.0;0.0;0.0008493771234428086
Sudeste;3;MG;31;3106200;1;3;2;4;214;42;23;15;7;2;0;7.0;200.0;174.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005747126436781609
