NO_REGIAO_IES;CO_REGIAO_IES;SG_UF_IES;CO_UF_IES;CO_MUNICIPIO_IES;IN_CAPITAL_IES;TP_ORGANIZACAO_ACADEMICA;TP_REDE;TP_CATEGORIA_ADMINISTRATIVA;CO_IES;QT_TEC_TOTAL;QT_DOC_EXE;QT_DOC_EX_MEST;QT_DOC_EX_DOUT;QT_DOC_EX_INT;QT_DOC_EX_INT_DE;QT_CURSO;QT_VG_TOTAL;QT_MAT;QT_MAT_DEFICIENTE;QT_MAT_FINANC;QT_MAT_FIES;QT_MAT_PROUNII;QT_MAT_PROUNIP;QT_MAT_RESERVA_VAGA;QT_MAT_RVPDEF;QT_MAT_APOIO_SOCIAL;QT_MAT_ATIV_EXTRACURRICULAR;QT_MAT_MOB_ACADEMICA;PROP_PCD
Sul;4;RS;43;4303103;0;2;2;4;3443;137;107;45;55;22;0;29.0;4401.0;5012.0;36.0;1093.0;102.0;448.0;6.0;0.0;0.0;0.0;4046.0;0.0;0.007182761372705506
Sudeste;3;MG;31;3143302;0;3;2;4;3448;8;3;1;2;1;0;1.0;200.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3118304;0;3;2;5;3488;10;20;8;4;1;1;3.0;135.0;140.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;138.0;20.0;0.0;0.007142857142857143
Sul;4;SC;42;4212908;0;3;2;4;3495;6;47;14;5;1;1;13.0;438.0;371.0;1.0;263.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0026954177897574125
Sul;4;PR;41;4106902;1;3;2;5;3509;7;14;8;5;2;1;2.0;200.0;33.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3101508;0;3;2;5;3514;4;30;7;3;0;0;3.0;120.0;196.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;PE;26;2616407;0;2;2;5;3515;44;96;56;33;33;2;18.0;641.0;1451.0;0.0;856.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3101508;0;3;2;5;3516;9;21;6;3;0;0;2.0;80.0;199.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;SC;42;4208906;0;3;2;4;3518;21;313;184;89;1;0;17.0;385.0;1122.0;12.0;143.0;35.0;81.0;27.0;0.0;0.0;0.0;296.0;0.0;0.0106951871657754
Sudeste;3;MG;31;3152501;0;3;2;5;3522;13;19;12;5;2;0;2.0;91.0;57.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;RS;43;4314902;1;3;2;5;3523;100;37;13;23;18;0;1.0;325.0;692.0;2.0;191.0;0.0;0.0;0.0;0.0;0.0;0.0;431.0;0.0;0.002890173410404624
Sudeste;3;SP;35;3529005;0;2;2;5;3529;42;73;35;17;17;0;18.0;716.0;1233.0;6.0;210.0;0.0;164.0;0.0;0.0;0.0;0.0;329.0;0.0;0.004866180048661801
Sudeste;3;SP;35;3549805;0;3;2;4;3533;103;60;21;39;21;5;1.0;130.0;714.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0028011204481792717
Sul;4;PR;41;4106902;1;3;2;5;3536;1;22;7;9;1;0;1.0;40.0;31.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0
Sul;4;RS;43;4320909;0;3;2;4;3541;11;15;8;2;0;0;2.0;60.0;46.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.021739130434782608
Sul;4;RS;43;4313409;0;3;2;5;3543;55;50;27;14;2;1;4.0;210.0;281.0;0.0;39.0;0.0;39.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;DF;53;5300108;1;3;2;5;3573;9;9;6;3;0;0;1.0;350.0;99.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.010101010101010102
Norte;1;AC;12;1200401;1;3;2;5;3587;5;15;4;2;3;0;2.0;61.0;42.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;BA;29;2927408;1;2;2;4;3588;198;209;68;38;13;0;47.0;1135.0;3248.0;14.0;323.0;161.0;159.0;3.0;0.0;0.0;0.0;1684.0;0.0;0.004310344827586207
Nordeste;2;PB;25;2507507;1;3;2;4;3590;13;14;7;4;1;1;1.0;200.0;181.0;0.0;171.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;PR;41;4106902;1;2;2;4;3602;159;240;126;93;49;0;49.0;3291.0;5642.0;3.0;828.0;146.0;277.0;288.0;0.0;0.0;0.0;565.0;0.0;0.0005317263381779511
Sudeste;3;SP;35;3518800;0;3;2;4;3603;30;112;39;50;21;0;21.0;2373.0;1964.0;23.0;1169.0;14.0;420.0;0.0;0.0;0.0;0.0;644.0;0.0;0.011710794297352342
Centro-Oeste;5;GO;52;5208707;1;3;2;4;3607;12;35;19;7;14;0;5.0;500.0;453.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.0
Nordeste;2;BA;29;2919207;0;3;2;4;3609;79;16;12;2;0;0;10.0;77.0;104.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.009615384615384616
Centro-Oeste;5;DF;53;5300108;1;2;2;4;3610;117;49;23;21;14;0;21.0;1349.0;1009.0;1.0;111.0;46.0;64.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0009910802775024777
Sudeste;3;SP;35;3556206;0;3;2;4;3612;15;64;13;38;9;0;8.0;644.0;547.0;9.0;308.0;2.0;34.0;0.0;0.0;0.0;0.0;181.0;0.0;0.016453382084095063
Centro-Oeste;5;GO;52;5208004;0;3;2;4;3613;16;120;55;22;10;0;11.0;810.0;1493.0;3.0;660.0;122.0;62.0;62.0;0.0;0.0;0.0;0.0;0.0;0.0020093770931011385
Sudeste;3;RJ;33;3304557;1;3;2;5;3614;59;20;0;19;19;0;1.0;50.0;53.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;PE;26;2611606;1;3;2;5;3615;311;339;145;81;41;0;9.0;1320.0;2830.0;6.0;562.0;100.0;337.0;0.0;0.0;0.0;0.0;802.0;0.0;0.0021201413427561835
Nordeste;2;PE;26;2601607;0;3;2;4;3617;41;38;10;3;0;0;5.0;440.0;674.0;1.0;510.0;372.0;123.0;0.0;0.0;0.0;37.0;46.0;0.0;0.001483679525222552
Nordeste;2;RN;24;2400208;0;3;2;4;3625;15;33;13;7;11;0;11.0;837.0;2008.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1991.0;0.0;0.00149402390438247
Nordeste;2;PE;26;2611606;1;3;2;5;3631;77;56;30;26;7;0;7.0;1620.0;504.0;2.0;151.0;0.0;151.0;0.0;0.0;0.0;0.0;0.0;0.0;0.003968253968253968
Sudeste;3;SP;35;3505500;0;2;2;5;3641;77;160;64;50;6;6;21.0;2251.0;2888.0;2.0;421.0;63.0;222.0;49.0;0.0;0.0;0.0;0.0;0.0;0.0006925207756232687
Nordeste;2;RN;24;2402006;0;3;2;4;3644;11;50;26;5;0;0;4.0;690.0;602.0;2.0;45.0;28.0;9.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0033222591362126247
Centro-Oeste;5;MT;51;5103403;1;3;2;4;3648;12;31;13;2;0;0;5.0;259.0;419.0;3.0;416.0;0.0;29.0;0.0;0.0;0.0;0.0;2.0;0.0;0.007159904534606206
Sul;4;PR;41;4115200;0;2;2;4;3649;560;207;121;39;65;34;136.0;3634.0;45360.0;356.0;904.0;7.0;71.0;12.0;0.0;0.0;0.0;0.0;0.0;0.007848324514991182
Sudeste;3;MG;31;3143302;0;3;2;4;3657;8;3;1;1;1;0;2.0;30.0;17.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;BA;29;2926608;0;3;2;4;3669;67;33;7;5;6;0;6.0;815.0;553.0;0.0;48.0;30.0;18.0;0.0;0.0;0.0;0.0;286.0;0.0;0.0
Nordeste;2;CE;23;2304400;1;3;2;5;3680;30;11;5;5;2;0;9.0;1080.0;60.0;0.0;39.0;1.0;0.0;0.0;0.0;0.0;0.0;6.0;0.0;0.0
Sudeste;3;RJ;33;3302205;0;3;1;3;3682;19;8;6;2;8;0;3.0;90.0;172.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;PR;41;4111506;0;3;2;5;3688;30;38;14;5;11;11;10.0;890.0;475.0;1.0;87.0;0.0;31.0;26.0;0.0;0.0;0.0;109.0;0.0;0.002105263157894737
Sul;4;SC;42;4215802;0;3;2;4;3691;15;65;35;22;1;0;2.0;69.0;258.0;3.0;26.0;0.0;26.0;0.0;0.0;0.0;0.0;42.0;0.0;0.011627906976744186
Sul;4;RS;43;4314902;1;3;2;5;3697;16;24;14;7;2;0;1.0;74.0;48.0;0.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0
Sudeste;3;RJ;33;3304557;1;3;2;5;3710;4;14;8;3;1;1;6.0;0.0;826.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;MA;21;2112209;0;3;2;4;3724;7;7;3;0;1;0;4.0;783.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;MA;21;2101202;0;3;2;4;3741;20;63;8;36;9;0;6.0;473.0;1082.0;17.0;590.0;70.0;131.0;0.0;0.0;0.0;0.0;313.0;0.0;0.015711645101663587
Sudeste;3;MG;31;3138203;0;3;2;5;3754;43;35;15;9;7;4;8.0;429.0;327.0;2.0;78.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0061162079510703364
Sudeste;3;MG;31;3101706;0;3;2;4;3756;20;30;23;7;10;0;9.0;528.0;7590.0;0.0;7425.0;58.0;28.0;17.0;0.0;0.0;0.0;94.0;0.0;0.0
Centro-Oeste;5;GO;52;5221601;0;3;2;4;3757;46;37;20;12;8;8;11.0;586.0;847.0;3.0;340.0;16.0;64.0;64.0;0.0;0.0;0.0;0.0;0.0;0.0035419126328217238
Sul;4;SC;42;4205407;1;3;2;4;3758;57;418;247;129;1;0;15.0;585.0;1715.0;8.0;259.0;63.0;194.0;2.0;0.0;0.0;0.0;491.0;0.0;0.004664723032069971
Sul;4;RS;43;4314902;1;3;2;4;3768;44;30;18;8;0;0;3.0;748.0;607.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Norte;1;AP;16;1600600;0;3;2;4;3769;5;22;8;3;15;3;8.0;3190.0;1124.0;1.0;2.0;0.0;1.0;1.0;0.0;0.0;0.0;22.0;0.0;0.0008896797153024911
Sudeste;3;SP;35;3550308;1;3;2;5;3770;14;16;7;9;6;0;2.0;63.0;573.0;2.0;88.0;0.0;0.0;0.0;0.0;0.0;1.0;521.0;0.0;0.0034904013961605585
Sul;4;PR;41;4106902;1;3;2;4;3777;6;9;6;1;4;0;1.0;117.0;101.0;3.0;9.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0297029702970297
Nordeste;2;SE;28;2800308;1;3;2;4;3778;22;9;3;2;1;0;3.0;332.0;148.0;2.0;5.0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.013513513513513514
Sudeste;3;SP;35;3547809;0;2;2;4;3779;22;45;19;20;10;0;14.0;5679.0;1091.0;1.0;1084.0;3.0;82.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0009165902841429881
Sudeste;3;ES;32;3201209;0;3;2;4;3782;8;12;5;2;0;0;2.0;120.0;32.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Norte;1;PA;15;1501402;1;3;2;4;3783;44;27;20;4;5;0;3.0;325.0;213.0;6.0;10.0;0.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.028169014084507043
Nordeste;2;MA;21;2111300;1;3;2;4;3785;14;3;1;2;3;0;2.0;201.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3106200;1;3;2;4;3786;19;27;11;7;2;0;8.0;757.0;155.0;2.0;15.0;0.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.012903225806451613
Norte;1;AP;16;1600303;1;3;2;4;3787;16;6;2;0;2;0;2.0;140.0;3.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;GO;52;5208608;0;3;2;5;3789;37;83;42;18;25;0;10.0;1780.0;1572.0;10.0;717.0;120.0;220.0;9.0;0.0;0.0;0.0;21.0;0.0;0.006361323155216285
Sul;4;PR;41;4109401;0;2;2;4;3797;86;120;57;37;32;2;50.0;2115.0;1703.0;7.0;295.0;96.0;21.0;91.0;0.0;0.0;0.0;0.0;0.0;0.004110393423370522
Sul;4;RS;43;4314902;1;2;2;5;3804;59;71;47;13;16;12;21.0;2111.0;1451.0;9.0;1140.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;0.0;0.006202618883528601
Nordeste;2;PB;25;2503209;0;3;2;4;3805;235;16;7;7;16;0;7.0;60.0;30.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03333333333333333
Centro-Oeste;5;MT;51;5100250;0;3;2;5;3815;22;36;15;11;15;8;5.0;95.0;210.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nordeste;2;PB;25;2507507;1;2;2;5;3817;100;135;76;36;51;0;22.0;10357.0;4327.0;25.0;4043.0;359.0;322.0;0.0;0.0;0.0;0.0;0.0;0.0;0.005777675063554426
Sudeste;3;MG;31;3152501;0;3;2;4;3823;4;7;4;0;1;0;1.0;90.0;95.0;1.0;14.0;0.0;4.0;0.0;0.0;0.0;0.0;79.0;0.0;0.010526315789473684
Sudeste;3;MG;31;3106200;1;3;2;4;3839;22;8;0;6;2;0;1.0;0.0;40.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;SC;42;4209300;0;2;2;4;3840;123;255;133;118;62;0;86.0;7225.0;55176.0;437.0;717.0;0.0;657.0;60.0;0.0;0.0;0.0;4970.0;0.0;0.007920110192837466
Nordeste;2;BA;29;2927408;1;3;2;4;3847;101;58;29;25;8;0;1.0;330.0;759.0;2.0;98.0;0.0;86.0;12.0;0.0;0.0;0.0;464.0;0.0;0.002635046113306983
Norte;1;TO;17;1721000;1;1;1;1;3849;686;903;170;670;798;691;53.0;3439.0;10104.0;178.0;0.0;0.0;0.0;0.0;4204.0;26.0;2220.0;2177.0;0.0;0.017616785431512273
Nordeste;2;RN;24;2408102;1;2;2;4;3853;96;156;76;42;49;0;17.0;6944.0;6372.0;15.0;5625.0;407.0;433.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0023540489642184556
Centro-Oeste;5;DF;53;5300108;1;3;2;4;3854;13;7;4;0;6;0;5.0;80.0;272.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;272.0;0.0;0.0
Nordeste;2;CE;23;2312908;0;3;2;5;3862;147;154;84;47;61;0;12.0;1610.0;2228.0;18.0;1679.0;1165.0;0.0;0.0;0.0;0.0;0.0;1319.0;0.0;0.00807899461400359
Nordeste;2;BA;29;2900702;0;2;2;4;3864;13;52;27;25;9;0;15.0;660.0;163.0;0.0;94.0;2.0;77.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;DF;53;5300108;1;2;2;4;3867;63;24;7;4;20;3;20.0;2865.0;742.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;68.0;0.0;0.0013477088948787063
Nordeste;2;MA;21;2111300;1;3;2;4;3869;75;129;62;25;28;0;12.0;1365.0;2504.0;3.0;719.0;436.0;252.0;36.0;0.0;0.0;0.0;81.0;0.0;0.0011980830670926517
Sudeste;3;MG;31;3128709;0;2;2;5;3875;331;111;57;21;6;6;15.0;3752.0;706.0;5.0;246.0;55.0;75.0;0.0;0.0;0.0;0.0;706.0;0.0;0.007082152974504249
Sudeste;3;RJ;33;3304557;1;3;2;4;3876;398;51;23;26;28;0;23.0;0.0;7761.0;163.0;6.0;0.0;6.0;0.0;0.0;0.0;0.0;7384.0;0.0;0.02100244813812653
Centro-Oeste;5;GO;52;5200258;0;3;2;4;3877;84;41;11;2;5;3;9.0;1518.0;1172.0;4.0;866.0;12.0;67.0;24.0;0.0;0.0;0.0;1172.0;0.0;0.0034129692832764505
Nordeste;2;PB;25;2504009;0;2;2;4;3879;93;129;63;41;81;0;24.0;11197.0;5143.0;9.0;4055.0;826.0;356.0;0.0;0.0;0.0;0.0;0.0;0.0;0.00174995139023916
Nordeste;2;PE;26;2613909;0;2;2;4;3881;83;169;61;28;37;2;12.0;3174.0;2298.0;49.0;444.0;90.0;151.0;206.0;0.0;0.0;0.0;0.0;0.0;0.02132288946910357
Sudeste;3;SP;35;3550308;1;3;2;5;3896;2;18;11;4;3;0;7.0;700.0;226.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;GO;52;5201108;0;3;2;5;3920;44;17;5;5;1;0;3.0;300.0;211.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.004739336492890996
Nordeste;2;BA;29;2919553;0;2;2;4;3921;24;76;24;12;12;0;7.0;1090.0;744.0;4.0;205.0;1.0;3.0;1.0;0.0;0.0;0.0;0.0;0.0;0.005376344086021506
Nordeste;2;PI;22;2208007;0;3;2;4;3930;24;66;37;6;21;0;8.0;930.0;960.0;4.0;546.0;451.0;6.0;0.0;0.0;0.0;65.0;49.0;0.0;0.004166666666666667
Sudeste;3;SP;35;3550308;1;3;2;4;3933;48;57;33;9;6;0;5.0;360.0;834.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002398081534772182
Sudeste;3;SP;35;3520509;0;3;2;4;3937;16;76;17;37;5;0;11.0;658.0;516.0;9.0;259.0;4.0;76.0;0.0;0.0;0.0;0.0;142.0;0.0;0.01744186046511628
Sudeste;3;SP;35;3554003;0;3;2;5;3940;27;83;38;16;7;2;7.0;635.0;590.0;2.0;14.0;14.0;0.0;0.0;0.0;0.0;0.0;12.0;0.0;0.003389830508474576
Sul;4;SC;42;4218707;0;3;2;5;3946;24;24;8;1;1;1;1.0;10.0;34.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.029411764705882353
Sul;4;SC;42;4204202;0;3;2;5;3947;32;11;6;3;0;0;1.0;60.0;52.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.038461538461538464
Sul;4;SC;42;4202404;0;3;2;5;3948;91;72;26;5;3;2;9.0;170.0;268.0;2.0;91.0;0.0;0.0;0.0;0.0;0.0;2.0;16.0;0.0;0.007462686567164179
Sudeste;3;MG;31;3145604;0;3;2;5;3954;18;28;21;3;4;0;4.0;251.0;389.0;0.0;287.0;11.0;18.0;0.0;0.0;0.0;0.0;81.0;0.0;0.0
Nordeste;2;BA;29;2927408;1;1;2;5;3962;44;144;71;71;76;0;12.0;782.0;1623.0;3.0;306.0;0.0;0.0;0.0;0.0;0.0;0.0;255.0;14.0;0.0018484288354898336
Sudeste;3;MG;31;3113404;0;2;2;5;3966;1052;180;59;36;89;0;42.0;2485.0;4932.0;8.0;1984.0;540.0;535.0;624.0;0.0;0.0;26.0;1332.0;0.0;0.0016220600162206002
Sudeste;3;MG;31;3139003;0;3;2;5;3972;15;27;9;12;9;0;5.0;797.0;341.0;1.0;6.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.002932551319648094
Centro-Oeste;5;GO;52;5218805;0;1;1;3;3974;498;444;205;185;391;1;23.0;4301.0;10507.0;93.0;29.0;0.0;0.0;0.0;1131.0;48.0;0.0;3414.0;0.0;0.008851242029123442
Norte;1;AP;16;1600303;1;3;2;4;3977;25;54;27;13;24;0;9.0;1285.0;724.0;14.0;206.0;158.0;29.0;8.0;0.0;0.0;0.0;721.0;0.0;0.019337016574585635
Centro-Oeste;5;DF;53;5300108;1;3;2;4;3980;23;48;20;3;26;0;5.0;1463.0;440.0;0.0;411.0;1.0;0.0;0.0;0.0;0.0;19.0;438.0;0.0;0.0
Sudeste;3;MG;31;3126109;0;2;2;5;3983;147;93;44;36;23;0;29.0;1089.0;1688.0;28.0;210.0;97.0;5.0;5.0;0.0;0.0;936.0;561.0;0.0;0.016587677725118485
Nordeste;2;PE;26;2611101;0;1;1;1;3984;393;621;95;487;531;496;37.0;1101.0;2128.0;32.0;0.0;0.0;0.0;0.0;894.0;26.0;181.0;4.0;0.0;0.015037593984962405
Sudeste;3;SP;35;3550308;1;2;2;5;3985;901;580;300;149;125;0;75.0;12638.0;20888.0;179.0;876.0;876.0;305.0;217.0;0.0;0.0;0.0;3130.0;0.0;0.008569513596323249
Sul;4;PR;41;4115200;0;3;2;5;3986;19;11;9;2;2;0;3.0;0.0;58.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Centro-Oeste;5;GO;52;5221403;0;2;2;4;3987;91;111;42;28;33;4;20.0;7982.0;3105.0;1.0;982.0;93.0;185.0;193.0;0.0;0.0;0.0;165.0;0.0;0.00032206119162640903
Nordeste;2;PE;26;2611606;1;3;2;5;3996;22;81;42;9;12;12;11.0;1074.0;1641.0;3.0;378.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0018281535648994515
Sudeste;3;RJ;33;3304557;1;3;2;4;3998;82;115;55;28;6;4;19.0;960.0;1784.0;40.0;200.0;174.0;15.0;20.0;0.0;0.0;0.0;0.0;0.0;0.02242152466367713
Sudeste;3;SP;35;3529005;0;3;2;4;4000;25;66;33;19;13;12;15.0;1181.0;1028.0;1.0;250.0;89.0;58.0;108.0;0.0;0.0;0.0;1028.0;1005.0;0.0009727626459143969
Sudeste;3;SP;35;3539301;0;3;2;4;4007;17;29;8;14;12;0;4.0;250.0;235.0;4.0;13.0;0.0;13.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01702127659574468
Sul;4;PR;41;4106902;1;3;2;4;4009;36;9;2;7;2;0;3.0;1684.0;194.0;0.0;193.0;1.0;19.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;RS;43;4314902;1;2;2;5;4010;2;10;4;6;0;0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;SP;35;3543907;0;3;2;4;4013;84;27;5;13;4;0;2.0;177.0;152.0;4.0;98.0;1.0;4.0;0.0;0.0;0.0;0.0;54.0;0.0;0.02631578947368421
Sudeste;3;RJ;33;3304557;1;3;1;1;4016;31;41;4;36;41;41;2.0;60.0;1084.0;265.0;0.0;0.0;0.0;0.0;247.0;83.0;0.0;0.0;0.0;0.2444649446494465
Sudeste;3;SP;35;3525904;0;2;2;4;4017;161;272;119;79;35;0;53.0;6748.0;12139.0;96.0;578.0;17.0;289.0;212.0;0.0;0.0;0.0;8628.0;0.0;0.007908394431172255
Sudeste;3;SP;35;3507506;0;3;1;2;4020;17;68;23;34;10;3;5.0;480.0;972.0;41.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.04218106995884774
Sudeste;3;SP;35;3516705;0;3;1;2;4021;21;66;25;23;0;0;4.0;409.0;688.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.03924418604651163
Sudeste;3;SP;35;3525904;0;3;1;2;4022;17;118;62;30;8;0;9.0;732.0;1463.0;51.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034859876965140126
Sudeste;3;SP;35;3529401;0;3;1;2;4023;15;121;63;36;0;0;5.0;580.0;1203.0;28.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.023275145469659187
Sudeste;3;SP;35;3530508;0;3;1;2;4024;17;60;30;18;12;3;7.0;463.0;660.0;21.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.031818181818181815
Sudeste;3;SP;35;3549805;0;3;1;2;4025;12;60;20;34;5;1;3.0;436.0;955.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.039790575916230364
Sudeste;3;SP;35;3550308;1;3;1;2;4026;22;181;90;56;12;0;9.0;965.0;2099.0;27.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;26.0;0.0;0.012863268222963315
Sudeste;3;RJ;33;3301009;0;2;2;5;4030;55;104;53;15;26;0;10.0;865.0;897.0;2.0;69.0;47.0;0.0;0.0;0.0;0.0;0.0;24.0;0.0;0.002229654403567447
Nordeste;2;CE;23;2304400;1;2;2;4;4037;20;60;10;38;8;0;7.0;511.0;602.0;8.0;459.0;19.0;109.0;0.0;0.0;0.0;0.0;160.0;0.0;0.013289036544850499
Centro-Oeste;5;DF;53;5300108;1;3;2;4;4042;13;6;0;0;0;0;3.0;855.0;32.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sul;4;PR;41;4106902;1;2;2;4;4045;88;55;21;32;10;0;34.0;939.0;2129.0;20.0;341.0;92.0;239.0;10.0;0.0;0.0;0.0;373.0;0.0;0.009394081728511038
Sudeste;3;MG;31;3106200;1;3;2;5;4053;44;42;22;17;7;1;2.0;190.0;273.0;0.0;38.0;0.0;0.0;0.0;0.0;0.0;0.0;273.0;45.0;0.0
Sudeste;3;SP;35;3549409;0;3;2;4;4059;26;16;4;2;0;0;3.0;149.0;154.0;0.0;134.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;RJ;33;3301009;0;3;2;5;4066;27;20;9;2;1;0;1.0;65.0;60.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.016666666666666666
Centro-Oeste;5;DF;53;5300108;1;3;2;4;4068;117;37;18;19;11;1;5.0;831.0;658.0;1.0;54.0;53.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.001519756838905775
Sul;4;RS;43;4309209;0;3;2;4;4077;17;11;7;3;1;0;11.0;0.0;2317.0;0.0;349.0;0.0;326.0;23.0;0.0;0.0;0.0;0.0;0.0;0.0
Sudeste;3;MG;31;3106200;1;3;2;4;4079;7;8;4;0;0;0;1.0;100.0;26.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
Sudeste;3;SP;35;3547809;0;3;2;4;4086;16;20;10;4;1;1;4.0;300.0;771.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0038910505836575876
Sudeste;3;SP;35;3544301;0;3;2;4;4090;11;22;12;4;0;0;6.0;1200.0;117.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;116.0;0.0;0.0
Sul;4;PR;41;4106902;1;2;2;4;4093;54;118;73;22;28;11;52.0;419.0;2264.0;20.0;209.0;6.0;183.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0088339222614841
Nordeste;2;PB;25;2507507;1;3;2;4;4094;25;10;3;7;2;0;3.0;1788.0;195.0;2.0;195.0;0.0;17.0;1.0;0.0;0.0;0.0;0.0;0.0;0.010256410256410256
